timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/09/24 01:38:41.481, 16916, 46068, 93, 241.76
2026/09/24 01:38:42.483, 16916, 46068, 92, 239.23
2026/09/24 01:38:43.484, 16916, 46068, 91, 243.57
2026/09/24 01:38:44.486, 16916, 46068, 92, 236.73
2026/09/24 01:38:45.488, 16916, 46068, 92, 239.06
2026/09/24 01:38:46.489, 16916, 46068, 91, 238.31
2026/09/24 01:38:47.490, 16916, 46068, 91, 237.10
2026/09/24 01:38:48.492, 16916, 46068, 93, 238.74
2026/09/24 01:38:49.494, 16916, 46068, 93, 239.49
2026/09/24 01:38:50.496, 16916, 46068, 92, 239.73
2026/09/24 01:38:51.497, 16916, 46068, 90, 253.78
2026/09/24 01:38:52.498, 16916, 46068, 92, 236.93
2026/09/24 01:38:53.499, 16916, 46068, 92, 239.00
2026/09/24 01:38:54.501, 16916, 46068, 93, 240.00
2026/09/24 01:38:55.502, 16916, 46068, 90, 239.42
2026/09/24 01:38:56.504, 16916, 46068, 91, 237.40
2026/09/24 01:38:57.506, 16916, 46068, 93, 238.65
2026/09/24 01:38:58.508, 16916, 46068, 92, 240.40
2026/09/24 01:38:59.509, 16916, 46068, 92, 233.86
2026/09/24 01:39:00.511, 16916, 46068, 93, 239.65
2026/09/24 01:39:01.513, 16916, 46068, 90, 241.70
2026/09/24 01:39:02.514, 16916, 46068, 94, 240.39
2026/09/24 01:39:03.516, 16916, 46068, 93, 240.85
2026/09/24 01:39:04.518, 16916, 46068, 93, 241.38
2026/09/24 01:39:05.519, 16916, 46068, 93, 242.80
2026/09/24 01:39:06.521, 16916, 46068, 93, 242.86
2026/09/24 01:39:07.523, 16916, 46068, 98, 238.81
2026/09/24 01:39:08.524, 16916, 46068, 91, 240.48
2026/09/24 01:39:09.526, 16916, 46068, 92, 240.73
2026/09/24 01:39:10.527, 16916, 46068, 93, 241.52
2026/09/24 01:39:11.528, 16916, 46068, 93, 241.55
2026/09/24 01:39:12.530, 16916, 46068, 93, 240.56
2026/09/24 01:39:13.531, 16916, 46068, 90, 241.43
2026/09/24 01:39:14.533, 16916, 46068, 93, 243.10
2026/09/24 01:39:15.535, 16916, 46068, 100, 262.96
2026/09/24 01:39:16.537, 16916, 46068, 93, 238.66
2026/09/24 01:39:17.538, 16916, 46068, 93, 239.85
2026/09/24 01:39:18.540, 16916, 46068, 91, 238.96
2026/09/24 01:39:19.542, 16916, 46068, 92, 240.39
2026/09/24 01:39:20.544, 16916, 46068, 92, 242.25
2026/09/24 01:39:21.545, 16916, 46068, 92, 242.73
2026/09/24 01:39:22.546, 16916, 46068, 93, 241.96
2026/09/24 01:39:23.548, 16916, 46068, 40, 240.40
2026/09/24 01:39:24.551, 16916, 46068, 93, 248.24
2026/09/24 01:39:25.552, 16916, 46068, 90, 236.45
2026/09/24 01:39:26.554, 16916, 46068, 93, 240.38
2026/09/24 01:39:27.555, 16916, 46068, 93, 239.96
2026/09/24 01:39:28.557, 16916, 46068, 92, 239.66
2026/09/24 01:39:29.558, 16916, 46068, 90, 238.23
2026/09/24 01:39:30.560, 16916, 46068, 92, 238.38
2026/09/24 01:39:31.561, 16916, 46068, 93, 232.83
2026/09/24 01:39:32.563, 16916, 46068, 91, 252.12
2026/09/24 01:39:33.565, 16916, 46068, 0, 164.04
2026/09/24 01:39:34.567, 16916, 46068, 0, 112.72
2026/09/24 01:39:35.568, 16916, 46068, 0, 98.18
2026/09/24 01:39:36.569, 16916, 46068, 0, 97.95
2026/09/24 01:39:37.571, 16916, 46068, 92, 146.46
2026/09/24 01:39:38.573, 16916, 46068, 94, 258.30
2026/09/24 01:39:39.574, 16916, 46068, 93, 258.38
2026/09/24 01:39:40.576, 16916, 46068, 95, 258.11
2026/09/24 01:39:41.577, 16916, 46068, 93, 255.18
2026/09/24 01:39:42.578, 16916, 46068, 93, 257.58
2026/09/24 01:39:43.580, 16916, 46068, 93, 256.83
2026/09/24 01:39:44.581, 18416, 46068, 81, 257.94
2026/09/24 01:39:45.583, 18596, 46068, 91, 296.19
2026/09/24 01:39:46.584, 18596, 46068, 89, 248.64
2026/09/24 01:39:47.586, 18596, 46068, 92, 250.06
2026/09/24 01:39:48.587, 18596, 46068, 88, 248.87
2026/09/24 01:39:49.589, 18596, 46068, 88, 250.08
2026/09/24 01:39:50.590, 18596, 46068, 88, 249.37
2026/09/24 01:39:51.592, 18596, 46068, 89, 252.01
2026/09/24 01:39:52.594, 18596, 46068, 93, 251.85
2026/09/24 01:39:53.595, 18618, 46068, 93, 253.84
2026/09/24 01:39:54.596, 19194, 46068, 100, 271.19
2026/09/24 01:39:55.597, 19194, 46068, 92, 322.07
2026/09/24 01:39:56.599, 19194, 46068, 88, 247.48
2026/09/24 01:39:57.601, 19194, 46068, 88, 246.63
2026/09/24 01:39:58.602, 19194, 46068, 87, 247.62
2026/09/24 01:39:59.604, 19194, 46068, 88, 243.99
2026/09/24 01:40:00.606, 19194, 46068, 88, 248.18
2026/09/24 01:40:01.607, 19194, 46068, 89, 250.46
2026/09/24 01:40:02.608, 19194, 46068, 90, 256.22
2026/09/24 01:40:03.610, 19194, 46068, 87, 249.72
2026/09/24 01:40:04.611, 19194, 46068, 88, 254.07
2026/09/24 01:40:05.613, 19194, 46068, 100, 315.10
2026/09/24 01:40:06.614, 19194, 46068, 90, 265.00
2026/09/24 01:40:07.615, 19194, 46068, 89, 247.03
2026/09/24 01:40:08.617, 19194, 46068, 89, 249.35
2026/09/24 01:40:09.618, 19194, 46068, 88, 249.12
